"ensemble","geneName","statistic","pvalue","amplitude1","amplitude2","phi1","phi2","basal1","basal2","sigma_alpha","sigma_0","qvalue","r1","r2"
"ENSG00000165995","CACNB2",0.427115844135301,0.807705374830262,0.0206818823150674,0.0799159325241764,-6.62248083774837,-4.38916516105392,1.10363661789043,1.17046471832976,0.453855264713923,0.359083416417517,0.956651921331095,0.0575963170936859,0.222555341935523
"ENSG00000078668","VDAC3",0.395816402251967,0.820445165623374,17.5708602436437,7.67632522158071,3.49448549106901,4.17929955527324,378.924102023181,395.418301188882,39.6862630381915,64.9554980723106,0.956651921331095,0.270506127504145,0.118178221234409
"ENSG00000143486","EIF2D",4.59057467642492,0.100732444828873,2.12060325842181,1.98307563660801,4.91470148452232,-2.5257445590375,43.0786024156982,43.7319588065849,4.56819710977214,5.59790475702397,0.517213674121341,0.37882088932667,0.354253193414866
"ENSG00000053438","NNAT",5.53921930118915,0.0626864695930564,0.102529039962343,0.351638771938343,-6.42815435327603,-10.5143084090555,1.39008035616064,1.38530780547019,0.235309683765165,0.564809972126563,0.434946657413317,0.181528381264784,0.622578901385876
"ENSG00000024422","EHD2",0.638579944664116,0.726664806064521,0.539540346197245,0.521986210398332,-10.6980406170344,8.97694138188408,5.52099894224161,5.8451527399599,0.51970745688247,2.63225084146225,0.932187889757153,0.204972997899214,0.198304128989607
"ENSG00000179583","CIITA",4.33727185884948,0.114333469511225,0.836656533466285,0.650114337387363,5.43264654075805,-4.88325218068675,6.70127770413714,6.53381089490049,0.273064875660176,2.47302017223228,0.532204301770514,0.338313671218895,0.262882747454719
"ENSG00000185164","NOMO2",2.25959664603164,0.323098411365104,0.1812923572802,0.064185020811501,9.17747208398886,-1.5943134657739,3.49063850009051,3.1443235435333,0.624445880310732,0.626453076506102,0.797899769742534,0.289394950841836,0.102457826800817
"ENSG00000120549","KIAA1217",1.43183606650905,0.488743223248685,6.70697257101274,4.0008367375202,-5.2205581980202,-5.05765387837527,45.0618670602401,44.8910630136126,6.01196668822391,8.05197238119241,0.854642841536608,0.832960205710432,0.496876609619931
"ENSG00000135862","LAMC1",1.36483293152992,0.505394247702898,7.49775660545341,8.4273449540239,-5.09367119143087,-7.32109245423286,99.2391384873242,97.6983712577085,7.98029775041926,16.9687764322461,0.858024512859809,0.441856054583009,0.496638339698392
"ENSG00000117133","RPF1",1.35031940698354,0.509075113042044,0.427707458318618,0.7769633181959,-1.44132445194114,-5.92256569586779,18.8935691818981,19.0198709564443,0.648670907497171,2.43007827617518,0.858455087530398,0.176005630152707,0.319727691825137
