"ensemble","geneName","statistic","pvalue","amplitude","phi","basal","sigma_alpha","sigma_0","qvalue","r"
"ENSG00000178538","CA8",8.67817578019105,0.013048424374415,0.860968349927063,-4.50507770807015,2.64123752290158,0.410490339553785,1.42778903641497,0.0475810379258126,0.60300809711277
"ENSG00000166788","SAAL1",0.980903832695759,0.612349600850169,0.0824546629703002,6.12969388728103,2.55495712723047,0.18695990571162,0.418324915475083,0.740703926993457,0.197106746263627
"ENSG00000073756","PTGS2",0.178732446542995,0.914510597177403,1.75981295283638,-3.47864185289339,11.4851430751156,0,22.0781519076988,0.945903011533989,0.0797083451637418
"ENSG00000277476",NA,1.14467959523998,0.564203770445115,0.066753114100388,-11.1337640800056,1.91090733297372,0.214424243267139,0.375700712917998,0.704886665995749,0.177676304050447
"ENSG00000049540","ELN",1.7709608052628,0.412515951921033,0.893562773771223,-6.94726567410338,3.69385838676567,0,3.49558659234323,0.573913444653199,0.255625987274494
"ENSG00000120833","SOCS2",3.51169846896886,0.172760465831592,1.55363834276879,-1.84841423449653,5.12414779152078,0,4.68184228876991,0.330046016467707,0.331843374240823
"ENSG00000170577","SIX2",5.2748846429302,0.0715440223555829,0.502143952495254,-6.47183265316722,4.81563267623995,0.643427728548194,1.09009894246207,0.183261533774368,0.460640711531308
"ENSG00000196839","ADA",0.662590949905194,0.717992988750817,0.130538537726493,4.89189375479099,2.76587129734491,0,0.844104312069481,0.818245490307955,0.154647400635181
"ENSG00000005108","THSD7A",3.86134331761441,0.145050741150464,0.207892567567205,7.26597739142606,1.15567797886993,0,0.530634876187459,0.293952386933241,0.391780821232266
"ENSG00000224914","LINC00863",0.906411180416228,0.635587449637155,0.0651756018330164,9.48551865322101,1.65737956411392,0.300714921700872,0.378253837390593,0.756346020491385,0.172306518507874
"ENSG00000110200","ANAPC15",1.66461607927451,0.435044027819398,0.376171451335081,4.70987611573714,6.84215315899135,0.348993182557057,1.52897901435433,0.595843794082788,0.246027870757882
"ENSG00000149485","FADS1",1.04746326311354,0.592306150559505,0.228723952912956,-11.4757242308512,2.60700478778009,0.255022834500998,1.3516318962285,0.725337478492656,0.169220594417142
"ENSG00000158691","ZSCAN12",0.811965443981947,0.666321680037431,0.089425010699849,-3.42493380072419,1.95185816067841,0.399712329045081,0.525574786578002,0.781604605821258,0.17014707132755
"ENSG00000166912","MTMR10",6.90917680180252,0.0316003083381255,1.80731993560095,-10.2786176908675,43.5577560507224,4.80627200487142,3.9693864802161,0.0994020688108618,0.455314680142347
"ENSG00000106330","MOSPD3",4.19982686465222,0.122467029479984,0.12283194754758,2.78819102719445,1.60924301262512,0.0874509935729526,0.337859942128916,0.263580354801845,0.36355877756207
"ENSG00000205336","ADGRG1",2.02808725121798,0.362749188024519,1.07129048177699,-4.01081547533295,3.90265140600744,0.231694099851481,3.86910728223693,0.528432341333427,0.276883116344509
"ENSG00000167779","IGFBP6",6.02910325391071,0.0490678312483861,1.34370541229258,11.4768633833592,9.09949999238104,0.457966579352467,3.18539665449879,0.14010640094614,0.4218329953963
"ENSG00000106302","HYAL4",1.2307606525477,0.540435314468488,0.388446468680453,8.18707805015407,5.91571868785103,3.35872057328975,1.81807857781805,0.692943376334175,0.213657689727934
"ENSG00000166387","PPFIBP2",35.322461339002,2.13710065104064e-08,1.84521399962596,2.91270540368595,13.9679679171071,1.37478509539454,1.47502078589294,2.42275271825894e-07,1.25097491321718
"ENSG00000218283",NA,0.793544410881637,0.672487197110801,0.0860215505625184,1.12528713433727,3.00169724083151,0.176684371666963,0.582181562279333,0.78571208233864,0.147757256732299
"ENSG00000025796","SEC63",2.67804907426671,0.262101213924052,0.551290674530416,-5.02365682790114,10.9380646272996,0.346803655809509,1.67439142570741,0.430567991309955,0.329248386050175
"ENSG00000269293","ZSCAN16-AS1",2.89319547176234,0.235369717331886,1.99733138663573,4.84267912326247,19.6451763371654,1.75044573450569,6.02277243092847,0.402987900507882,0.331629894627751
"ENSG00000162408","NOL9",7.94655184049515,0.0188117064344796,1.80191716085857,-6.97783172876498,19.6866423741663,1.97160828657835,3.19182242118626,0.0641053686532116,0.564541795589267
"ENSG00000198951","NAGA",1.73164473146849,0.420705436594578,0.305871781578106,-9.82107161228865,8.49150073831377,0.760156115506678,1.36171329115345,0.581070838239797,0.224622748096271
"ENSG00000166801","FAM111A",2.1122607830695,0.347799055907643,0.278591240010054,5.70032040940513,3.51070459969643,0.366987040196612,0.969082560280809,0.514319196465606,0.287479365978196
"ENSG00000179632","MAF1",1.55566653125527,0.459400332192032,5.14594456228796,3.51202875395849,179.724768985266,10.6206913583178,22.8103944397123,0.61883927101162,0.225596474269161
"ENSG00000116406","EDEM3",4.38286232335633,0.111756692216176,4.24460907485013,-5.07663883665204,34.5241209979874,0,10.1010727611055,0.246619428818962,0.420213691677793
"ENSG00000182568","SATB1",8.50042474776359,0.0142612048799279,6.2995035205353,1.6366591090202,128.169378889836,4.73098486321282,12.419243060065,0.0507114272904268,0.507237316321782
"ENSG00000033867","SLC4A7",2.68409902892904,0.2613095616622,4.20189904531957,-7.40831529976417,43.8233318644438,8.82519291615121,13.4334963057651,0.430357976515215,0.312792660203903
"ENSG00000155744","FAM126B",10.6170743081728,0.00494916128522264,1.5030758676709,-6.20662916492101,15.2432447864521,0.861795061704594,2.23689899802635,0.0210661326081038,0.671946238519078
"ENSG00000135452","TSPAN31",3.44849077925824,0.178307553747488,0.801043879659049,1.90526307830264,15.1417262395441,0,2.54425918318857,0.337189187981235,0.31484366252936
"ENSG00000196976","LAGE3",4.19277377538612,0.122899677353154,0.486115441027471,7.70438628519663,7.28537937348631,0.651084793980268,1.19073401992945,0.264015254351522,0.408248553321985
"ENSG00000151150","ANK3",19.8247765703765,4.95569380802983e-05,9.81644831935381,1.34140453226671,70.7968956399697,4.00969715996668,11.9952723939494,0.000343895115769343,0.818359766828254
"ENSG00000164418","GRIK2",0.362556038429943,0.834203401878141,0.233496297741601,3.67014102232507,5.05538497603482,2.25298299758111,2.13981208322749,0.887697857946534,0.10912000150472
"ENSG00000141219","C17orf80",1.96202558156813,0.374931179651133,1.37377519027011,-10.7077978252683,33.7039913632271,2.013662788809,5.87382458388591,0.538640151443598,0.233880867678426
"ENSG00000124767","GLO1",0.649618133657896,0.722665321251752,3.16223548833167,4.29221208421384,156.468818945773,8.17897014415131,21.0363262027824,0.818448855423597,0.150322611365164
"ENSG00000145982","FARS2",0.75598187743023,0.68523670976278,0.186481512477288,3.79432346897272,12.3316187930617,0.617081509052077,1.17590178283938,0.796092038760901,0.15858595947274
